year,BorderID,CI,Border_Name,Longitude,Latitude
2022,21,0.02799590473501621,Kisumu,34.77767,0.086912
2023,1,0.2046942965699527,   Tororo,34.192288,0.679311
2023,2,0.8436619213301519,   Moroto,34.660772,2.53033
2023,3,0.2531172960994213,   Kaabong,34.357182,3.505943
2023,4,0.09123443428379582,   Amudat,34.944752,1.953718
2023,6,0.2774873468958955,Lwakhakha,34.379088,0.798043
2023,7,1.1147620039134394,Suam,34.73511,1.219371
2023,8,1.836883755277476,,,
2023,9,10.889234215417737,   Malaba,34.279695,0.635505
2023,11,17.760211659734352,   Busia,34.110898,0.461495
2023,13,1.836883755277476,Oropoi,34.232261,3.783474
2023,14,12.029604955486652,Kisumu,34.77767,0.086912
2023,16,0.06532377771503782,   Malaba,34.279695,0.635505
2023,18,1.836883755277476,Busia,34.110898,0.461495
2023,19,9.452037656307114,,,
2023,21,0.06532377771503782,Kisumu,34.77767,0.086912
2024,1,0.17479038524171975,   Tororo,34.192288,0.679311
2024,2,0.6447119371858333,   Moroto,34.660772,2.53033
2024,3,0.16342825028732375,   Kaabong,34.357182,3.505943
2024,4,0.08163080962234363,   Amudat,34.944752,1.953718
2024,6,0.2893233575843592,Lwakhakha,34.379088,0.798043
2024,7,1.3374379347752678,Suam,34.73511,1.219371
2024,8,1.5003262248894165,,,
2024,9,13.513148696378623,   Malaba,34.279695,0.635505
2024,11,17.392016812012564,   Busia,34.110898,0.461495
2024,13,1.5003262248894165,Oropoi,34.232261,3.783474
2024,14,14.001165123054973,Kisumu,34.77767,0.086912
2024,16,0.02799590473501621,   Malaba,34.279695,0.635505
2024,18,1.5003262248894165,Busia,34.110898,0.461495
2024,19,12.14813149172265,,,
2024,21,0.02799590473501621,Kisumu,34.77767,0.086912
